species,season,abundance,longitude,latitude,FAO_Major_Fishing_Areas,FAO_CWP_Code
sailfish,jul-sept,0,152.5,-39.5,81,5240153
sailfish,jul-sept,0,151.5,-38.5,81,5238151
sailfish,jul-sept,0,152.5,-38.5,81,5239151
sailfish,jul-sept,0,153.5,-38.5,81,5239153
sailfish,jul-sept,0,154.5,-38.5,81,5239155
sailfish,jul-sept,0,-167.5,-37.5,81,5338168
sailfish,jul-sept,0,150.5,-37.5,57,5238150
sailfish,jul-sept,0,151.5,-37.5,81,5238150
sailfish,jul-sept,0,152.5,-37.5,81,5238153
sailfish,jul-sept,0,153.5,-37.5,81,5238154
sailfish,jul-sept,0,154.5,-37.5,81,5238153
sailfish,jul-sept,0,178.5,-37.5,81,5238177
sailfish,jul-sept,0,179.5,-37.5,81,5238178
sailfish,jul-sept,0,-168.5,-36.5,81,5337168
sailfish,jul-sept,0,95.5,-36.5,57,5237094
sailfish,jul-sept,0,96.5,-36.5,57,5237095
sailfish,jul-sept,0,150.5,-36.5,81,5237151
sailfish,jul-sept,0,151.5,-36.5,81,5237150
sailfish,jul-sept,0,152.5,-36.5,81,5237153
sailfish,jul-sept,0,153.5,-36.5,81,5237154
sailfish,jul-sept,0,154.5,-36.5,81,5235155
sailfish,jul-sept,0,155.5,-36.5,81,5236156
sailfish,jul-sept,0,176.5,-36.5,81,5237175
sailfish,jul-sept,0,177.5,-36.5,81,5237176
sailfish,jul-sept,0,179.5,-36.5,81,5337179
sailfish,jul-sept,0,-179.5,-35.5,81,5336179
sailfish,jul-sept,0,153.5,-35.5,81,5236154
sailfish,jul-sept,0,175.5,-35.5,81,5236175
sailfish,jul-sept,0,176.5,-35.5,81,5236177
sailfish,jul-sept,0,177.5,-35.5,81,5235177
sailfish,jul-sept,0,178.5,-35.5,81,5236178
sailfish,jul-sept,0,179.5,-35.5,81,5336179
sailfish,jul-sept,0,-179.5,-34.5,81,5235179
sailfish,jul-sept,0,166.5,-34.5,81,5235165
sailfish,jul-sept,0,176.5,-34.5,81,5235176
sailfish,jul-sept,0,177.5,-34.5,81,5235178
sailfish,jul-sept,0,-162.5,-33.5,81,5334163
sailfish,jul-sept,0,-172.5,-32.5,81,5333172
sailfish,jul-sept,0,-171.5,-32.5,81,5333172
sailfish,jul-sept,0,14.5,-32.5,47,5233015
sailfish,jul-sept,0,153.5,-32.5,81,5232152
sailfish,jul-sept,0,156.5,-32.5,81,5231157
sailfish,jul-sept,0,157.5,-32.5,81,5231157
