category,season,effort,longitude,latitude,FAO_Major_Fishing_Areas,FAO_CWP_Code
tows,jul-sept,0,152.5,-39.5,81,5240153
tows,jul-sept,1,151.5,-38.5,81,5238151
tows,jul-sept,0,152.5,-38.5,81,5239151
tows,jul-sept,1,153.5,-38.5,81,5239153
tows,jul-sept,0,154.5,-38.5,81,5239155
tows,jul-sept,1,-167.5,-37.5,81,5338168
tows,jul-sept,1,150.5,-37.5,57,5238150
tows,jul-sept,0,151.5,-37.5,81,5238150
tows,jul-sept,1,152.5,-37.5,81,5238153
tows,jul-sept,2,153.5,-37.5,81,5238154
tows,jul-sept,0,154.5,-37.5,81,5238153
tows,jul-sept,0,178.5,-37.5,81,5238177
tows,jul-sept,1,179.5,-37.5,81,5238178
tows,jul-sept,0,-168.5,-36.5,81,5337168
tows,jul-sept,0,95.5,-36.5,57,5237094
tows,jul-sept,0,96.5,-36.5,57,5237095
tows,jul-sept,1,150.5,-36.5,81,5237151
tows,jul-sept,1,151.5,-36.5,81,5237150
tows,jul-sept,1,152.5,-36.5,81,5237153
tows,jul-sept,1,153.5,-36.5,81,5237154
tows,jul-sept,2,154.5,-36.5,81,5235155
tows,jul-sept,0,155.5,-36.5,81,5236156
tows,jul-sept,0,176.5,-36.5,81,5237175
tows,jul-sept,1,177.5,-36.5,81,5237176
tows,jul-sept,0,179.5,-36.5,81,5337179
tows,jul-sept,0,-179.5,-35.5,81,5336179
tows,jul-sept,1,153.5,-35.5,81,5236154
tows,jul-sept,1,175.5,-35.5,81,5236175
tows,jul-sept,1,176.5,-35.5,81,5236177
tows,jul-sept,1,177.5,-35.5,81,5235177
tows,jul-sept,0,178.5,-35.5,81,5236178
tows,jul-sept,1,179.5,-35.5,81,5336179
tows,jul-sept,1,-179.5,-34.5,81,5235179
tows,jul-sept,0,166.5,-34.5,81,5235165
tows,jul-sept,0,176.5,-34.5,81,5235176
tows,jul-sept,0,177.5,-34.5,81,5235178
tows,jul-sept,0,-162.5,-33.5,81,5334163
tows,jul-sept,0,-172.5,-32.5,81,5333172
tows,jul-sept,0,-171.5,-32.5,81,5333172
tows,jul-sept,0,14.5,-32.5,47,5233015
tows,jul-sept,0,153.5,-32.5,81,5232152
tows,jul-sept,0,156.5,-32.5,81,5231157
tows,jul-sept,0,157.5,-32.5,81,5231157
tows,jul-sept,0,-171.5,-31.5,81,5332171
tows,jul-sept,1,157.5,-31.5,81,5231157
tows,jul-sept,0,161.5,-31.5,81,5232161
tows,jul-sept,1,153.5,-30.5,81,5231152
tows,jul-sept,0,158.5,-30.5,81,5231157
tows,jul-sept,2,160.5,-30.5,81,5231161
tows,jul-sept,1,161.5,-30.5,81,5231161
tows,jul-sept,1,-169.5,-29.5,81,5330170
tows,jul-sept,0,-168.5,-29.5,81,5330167
tows,jul-sept,1,154.5,-29.5,81,5230155
tows,jul-sept,1,156.5,-29.5,81,5230157
tows,jul-sept,0,160.5,-29.5,81,5230159
tows,jul-sept,0,161.5,-29.5,81,5230162
tows,jul-sept,0,163.5,-29.5,81,5229164
tows,jul-sept,1,168.5,-29.5,81,5230168
tows,jul-sept,1,-174.5,-28.5,81,5328175
tows,jul-sept,0,-170.5,-28.5,81,5329169
tows,jul-sept,0,-169.5,-28.5,81,5329168
tows,jul-sept,1,-152.5,-28.5,81,5329153
tows,jul-sept,1,-151.5,-28.5,81,5329151
tows,jul-sept,1,154.5,-28.5,81,5227153
tows,jul-sept,0,158.5,-28.5,81,5228157
tows,jul-sept,1,159.5,-28.5,81,5228158
tows,jul-sept,1,160.5,-28.5,81,5229160
tows,jul-sept,0,161.5,-28.5,81,5229160
tows,jul-sept,1,162.5,-28.5,81,5227163
tows,jul-sept,0,163.5,-28.5,81,5229164
tows,jul-sept,0,164.5,-28.5,81,5229164
tows,jul-sept,1,165.5,-28.5,81,5229164
tows,jul-sept,0,166.5,-28.5,81,5229166
tows,jul-sept,0,168.5,-28.5,81,5229169
tows,jul-sept,0,-178.5,-27.5,81,5327177
tows,jul-sept,0,-176.5,-27.5,81,5328176
tows,jul-sept,1,-175.5,-27.5,81,5328176
tows,jul-sept,0,-174.5,-27.5,81,5328175
tows,jul-sept,1,-154.5,-27.5,81,5328154
tows,jul-sept,0,-150.5,-27.5,81,5328149
tows,jul-sept,1,153.5,-27.5,71,5228154
tows,jul-sept,0,154.5,-27.5,81,5228154
tows,jul-sept,1,155.5,-27.5,81,5228156
tows,jul-sept,2,157.5,-27.5,81,5228157
tows,jul-sept,2,158.5,-27.5,81,5227159
tows,jul-sept,2,159.5,-27.5,81,5227159
tows,jul-sept,1,160.5,-27.5,81,5228160
tows,jul-sept,1,161.5,-27.5,81,5228162
tows,jul-sept,1,162.5,-27.5,81,5227163
tows,jul-sept,1,163.5,-27.5,81,5227163
tows,jul-sept,2,165.5,-27.5,81,5228164
tows,jul-sept,1,166.5,-27.5,81,5226167
tows,jul-sept,1,167.5,-27.5,81,5227168
tows,jul-sept,0,168.5,-27.5,81,5228167
tows,jul-sept,1,169.5,-27.5,81,5228170
tows,jul-sept,0,176.5,-27.5,81,5228177
tows,jul-sept,1,-179.5,-26.5,81,5327179
tows,jul-sept,1,-178.5,-26.5,81,5327179
tows,jul-sept,0,-176.5,-26.5,81,5327177
tows,jul-sept,1,-175.5,-26.5,81,5327174
tows,jul-sept,0,-174.5,-26.5,81,5327174
tows,jul-sept,0,-173.5,-26.5,81,5327174
tows,jul-sept,0,6.5,-26.5,47,5227006
tows,jul-sept,0,7.5,-26.5,47,5227006
tows,jul-sept,1,111.5,-26.5,57,5225110
tows,jul-sept,2,112.5,-26.5,57,5227112
tows,jul-sept,0,153.5,-26.5,71,5227154
tows,jul-sept,2,154.5,-26.5,81,5227154
tows,jul-sept,1,155.5,-26.5,81,5227154
tows,jul-sept,1,156.5,-26.5,81,5227156
tows,jul-sept,1,157.5,-26.5,81,5227156
tows,jul-sept,2,158.5,-26.5,81,5227159
tows,jul-sept,3,159.5,-26.5,81,5227160
tows,jul-sept,2,160.5,-26.5,81,5227159
tows,jul-sept,1,161.5,-26.5,81,5227162
tows,jul-sept,0,162.5,-26.5,81,5227163
tows,jul-sept,1,163.5,-26.5,81,5227163
tows,jul-sept,1,165.5,-26.5,81,5227164
tows,jul-sept,1,166.5,-26.5,81,5226167
tows,jul-sept,0,167.5,-26.5,81,5227168
tows,jul-sept,1,168.5,-26.5,81,5227167
tows,jul-sept,1,169.5,-26.5,81,5227169
tows,jul-sept,1,175.5,-26.5,81,5227174
tows,jul-sept,0,176.5,-26.5,81,5227176
tows,jul-sept,0,-177.5,-25.5,81,5326176
tows,jul-sept,0,62.5,-25.5,51,5224062
tows,jul-sept,1,110.5,-25.5,57,5224110
tows,jul-sept,2,111.5,-25.5,57,5224110
tows,jul-sept,1,112.5,-25.5,57,5226113
tows,jul-sept,1,153.5,-25.5,71,5226153
tows,jul-sept,3,154.5,-25.5,81,5226155
tows,jul-sept,2,155.5,-25.5,81,5226156
tows,jul-sept,2,156.5,-25.5,81,5226156
tows,jul-sept,2,157.5,-25.5,81,5226156
tows,jul-sept,2,158.5,-25.5,81,5226159
tows,jul-sept,2,159.5,-25.5,81,5226159
