species,season,abundance,longitude,latitude,FAO_Major_Fishing_Areas,FAO_CWP_Code
striped-marlin,jan-mar,0,124.5,-43.5,57,5244125
striped-marlin,jan-mar,0,125.5,-41.5,57,5242125
striped-marlin,jan-mar,0,138.5,-41.5,57,5242137
striped-marlin,jan-mar,0,-84.5,-40.5,87,5340085
striped-marlin,jan-mar,0,126.5,-40.5,57,5241126
striped-marlin,jan-mar,0,-86.5,-39.5,87,5340085
striped-marlin,jan-mar,0,83.5,-39.5,57,5239084
striped-marlin,jan-mar,0,85.5,-39.5,57,5240085
striped-marlin,jan-mar,0,87.5,-39.5,57,5240086
striped-marlin,jan-mar,0,136.5,-39.5,57,5240135
striped-marlin,jan-mar,0,-87.5,-38.5,87,5337087
striped-marlin,jan-mar,0,81.5,-38.5,57,5239081
striped-marlin,jan-mar,0,-89.5,-37.5,87,5338090
striped-marlin,jan-mar,0,86.5,-37.5,57,5238087
striped-marlin,jan-mar,0,115.5,-37.5,57,5237115
striped-marlin,jan-mar,0,125.5,-37.5,57,5238124
striped-marlin,jan-mar,0,132.5,-37.5,57,5238131
striped-marlin,jan-mar,0,-91.5,-36.5,87,5337090
striped-marlin,jan-mar,0,-90.5,-36.5,87,5337090
striped-marlin,jan-mar,0,80.5,-36.5,57,5237079
striped-marlin,jan-mar,0,88.5,-36.5,57,5237087
striped-marlin,jan-mar,0,114.5,-36.5,57,5237113
striped-marlin,jan-mar,0,127.5,-36.5,57,5235128
striped-marlin,jan-mar,0,130.5,-36.5,57,5235130
striped-marlin,jan-mar,0,-92.5,-35.5,87,5336093
striped-marlin,jan-mar,0,78.5,-35.5,51,5236079
striped-marlin,jan-mar,0,89.5,-35.5,57,5234090
striped-marlin,jan-mar,0,11.5,-34.5,47,5235012
striped-marlin,jan-mar,0,14.5,-34.5,47,5234014
striped-marlin,jan-mar,0,15.5,-34.5,47,5235015
striped-marlin,jan-mar,0,85.5,-34.5,57,5235084
striped-marlin,jan-mar,0,89.5,-34.5,57,5234088
striped-marlin,jan-mar,0,154.5,-34.5,81,5233155
striped-marlin,jan-mar,0,158.5,-34.5,81,5235157
