species,season,abundance,longitude,latitude,FAO_Major_Fishing_Areas,FAO_CWP_Code
sailfish,jan-mar,0,124.5,-43.5,57,5244125
sailfish,jan-mar,0,125.5,-41.5,57,5242125
sailfish,jan-mar,0,138.5,-41.5,57,5242137
sailfish,jan-mar,0,-84.5,-40.5,87,5340085
sailfish,jan-mar,0,126.5,-40.5,57,5241126
sailfish,jan-mar,0,-86.5,-39.5,87,5340085
sailfish,jan-mar,0,83.5,-39.5,57,5239084
sailfish,jan-mar,0,85.5,-39.5,57,5240085
sailfish,jan-mar,0,87.5,-39.5,57,5240086
sailfish,jan-mar,0,136.5,-39.5,57,5240135
sailfish,jan-mar,0,-87.5,-38.5,87,5337087
sailfish,jan-mar,0,81.5,-38.5,57,5239081
sailfish,jan-mar,0,-89.5,-37.5,87,5338090
sailfish,jan-mar,0,86.5,-37.5,57,5238087
sailfish,jan-mar,0,115.5,-37.5,57,5237115
sailfish,jan-mar,0,125.5,-37.5,57,5238124
sailfish,jan-mar,0,132.5,-37.5,57,5238131
sailfish,jan-mar,0,-91.5,-36.5,87,5337090
sailfish,jan-mar,0,-90.5,-36.5,87,5337090
sailfish,jan-mar,0,80.5,-36.5,57,5237079
sailfish,jan-mar,0,88.5,-36.5,57,5237087
sailfish,jan-mar,0,114.5,-36.5,57,5237113
sailfish,jan-mar,0,127.5,-36.5,57,5235128
sailfish,jan-mar,0,130.5,-36.5,57,5235130
sailfish,jan-mar,0,-92.5,-35.5,87,5336093
sailfish,jan-mar,0,78.5,-35.5,51,5236079
sailfish,jan-mar,0,89.5,-35.5,57,5234090
sailfish,jan-mar,0,11.5,-34.5,47,5235012
sailfish,jan-mar,0,14.5,-34.5,47,5234014
sailfish,jan-mar,0,15.5,-34.5,47,5235015
sailfish,jan-mar,0,85.5,-34.5,57,5235084
sailfish,jan-mar,0,89.5,-34.5,57,5234088
sailfish,jan-mar,0,154.5,-34.5,81,5233155
sailfish,jan-mar,0,158.5,-34.5,81,5235157
sailfish,jan-mar,0,-94.5,-33.5,87,5332093
sailfish,jan-mar,0,-93.5,-33.5,87,5334092
sailfish,jan-mar,0,2.5,-33.5,47,5234003
sailfish,jan-mar,0,4.5,-33.5,47,5233005
sailfish,jan-mar,0,7.5,-33.5,47,5234008
sailfish,jan-mar,0,8.5,-33.5,47,5234009
sailfish,jan-mar,0,9.5,-33.5,47,5234009
sailfish,jan-mar,0,14.5,-33.5,47,5234014
sailfish,jan-mar,0,15.5,-33.5,47,5234014
sailfish,jan-mar,0,76.5,-33.5,51,5234075
sailfish,jan-mar,0,84.5,-33.5,57,5234084
