species,season,abundance,longitude,latitude,FAO_Major_Fishing_Areas,FAO_CWP_Code
bonitos,oct-dec,0,-59.5,-49.5,41,5350060
bonitos,oct-dec,0,-53.5,-49.5,41,5350054
bonitos,oct-dec,0,-65.5,-48.5,41,5349065
bonitos,oct-dec,0,-62.5,-48.5,41,5349063
bonitos,oct-dec,0,-53.5,-48.5,41,5349054
bonitos,oct-dec,0,-65.5,-47.5,41,5348066
bonitos,oct-dec,0,-54.5,-47.5,41,5348053
bonitos,oct-dec,0,-50.5,-47.5,41,5348051
bonitos,oct-dec,0,-66.5,-46.5,41,5347066
bonitos,oct-dec,0,-65.5,-45.5,41,5346064
bonitos,oct-dec,0,-51.5,-45.5,41,5346050
bonitos,oct-dec,0,-50.5,-45.5,41,5346050
bonitos,oct-dec,0,-49.5,-45.5,41,5346050
bonitos,oct-dec,0,-65.5,-44.5,41,5344066
bonitos,oct-dec,0,-63.5,-43.5,41,5344062
bonitos,oct-dec,0,-46.5,-43.5,41,5343045
bonitos,oct-dec,0,92.5,-43.5,57,5244091
bonitos,oct-dec,0,-62.5,-42.5,41,5343061
bonitos,oct-dec,0,9.5,-41.5,47,5241010
bonitos,oct-dec,0,18.5,-41.5,47,5242017
bonitos,oct-dec,0,-46.5,-40.5,41,5341047
bonitos,oct-dec,0,-44.5,-40.5,41,5341043
bonitos,oct-dec,0,2.5,-40.5,47,5241001
bonitos,oct-dec,0,11.5,-40.5,47,5240012
bonitos,oct-dec,0,90.5,-40.5,57,5241089
bonitos,oct-dec,0,91.5,-40.5,57,5240090
bonitos,oct-dec,0,-109.5,-39.5,87,5340109
bonitos,oct-dec,0,-108.5,-39.5,87,5340107
bonitos,oct-dec,0,-105.5,-39.5,87,5340106
bonitos,oct-dec,0,-90.5,-39.5,87,5340091
bonitos,oct-dec,0,-88.5,-39.5,87,5338087
bonitos,oct-dec,0,-49.5,-39.5,41,5338048
bonitos,oct-dec,0,-48.5,-39.5,41,5339049
bonitos,oct-dec,0,-44.5,-39.5,41,5340043
bonitos,oct-dec,0,1.5,-39.5,47,5238002
bonitos,oct-dec,0,3.5,-39.5,47,5239002
bonitos,oct-dec,0,5.5,-39.5,47,5240006
bonitos,oct-dec,0,12.5,-39.5,47,5239012
bonitos,oct-dec,0,88.5,-39.5,57,5240089
bonitos,oct-dec,0,89.5,-39.5,57,5240089
bonitos,oct-dec,0,91.5,-39.5,57,5240090
bonitos,oct-dec,0,92.5,-39.5,57,5240091
bonitos,oct-dec,0,102.5,-39.5,57,5239102
bonitos,oct-dec,0,-101.5,-38.5,87,5339100
bonitos,oct-dec,0,-84.5,-38.5,87,5339083
bonitos,oct-dec,0,-1.5,-38.5,47,5339001
bonitos,oct-dec,0,5.5,-38.5,47,5238005
bonitos,oct-dec,4,15.5,-38.5,47,5239015
bonitos,oct-dec,0,23.5,-38.5,47,5239023
bonitos,oct-dec,0,86.5,-38.5,57,5239087
bonitos,oct-dec,0,87.5,-38.5,57,5239088
bonitos,oct-dec,0,88.5,-38.5,57,5239088
bonitos,oct-dec,0,89.5,-38.5,57,5239090
bonitos,oct-dec,0,90.5,-38.5,57,5239091
bonitos,oct-dec,0,101.5,-38.5,57,5239102
bonitos,oct-dec,0,-114.5,-37.5,87,5338113
bonitos,oct-dec,0,-101.5,-37.5,87,5338100
bonitos,oct-dec,0,-80.5,-37.5,87,5338079
bonitos,oct-dec,0,-51.5,-37.5,41,5338052
bonitos,oct-dec,0,-44.5,-37.5,41,5338044
bonitos,oct-dec,0,-4.5,-37.5,47,5337003
bonitos,oct-dec,0,-3.5,-37.5,47,5338002
bonitos,oct-dec,0,8.5,-37.5,47,5237007
bonitos,oct-dec,0,9.5,-37.5,47,5236010
bonitos,oct-dec,0,86.5,-37.5,57,5238087
bonitos,oct-dec,0,87.5,-37.5,57,5238088
bonitos,oct-dec,0,88.5,-37.5,57,5238088
bonitos,oct-dec,0,155.5,-37.5,81,5238154
bonitos,oct-dec,0,156.5,-37.5,81,5238157
bonitos,oct-dec,0,-116.5,-36.5,87,5337115
bonitos,oct-dec,0,-4.5,-36.5,47,5337005
bonitos,oct-dec,0,11.5,-36.5,47,5237012
bonitos,oct-dec,0,12.5,-36.5,47,5237012
bonitos,oct-dec,0,17.5,-36.5,47,5237016
bonitos,oct-dec,0,33.5,-36.5,51,5236032
bonitos,oct-dec,0,86.5,-36.5,57,5237086
bonitos,oct-dec,0,87.5,-36.5,57,5237087
bonitos,oct-dec,0,89.5,-36.5,57,5236088
bonitos,oct-dec,0,90.5,-36.5,57,5237091
bonitos,oct-dec,0,91.5,-36.5,57,5236091
bonitos,oct-dec,0,96.5,-36.5,57,5237095
bonitos,oct-dec,0,97.5,-36.5,57,5237097
bonitos,oct-dec,0,98.5,-36.5,57,5237097
bonitos,oct-dec,0,157.5,-36.5,81,5237158
bonitos,oct-dec,0,-118.5,-35.5,87,5336117
bonitos,oct-dec,0,-94.5,-35.5,87,5336093
bonitos,oct-dec,0,-44.5,-35.5,41,5335045
bonitos,oct-dec,0,-6.5,-35.5,47,5335007
bonitos,oct-dec,0,14.5,-35.5,47,5236013
bonitos,oct-dec,0,15.5,-35.5,47,5236015
bonitos,oct-dec,0,83.5,-35.5,57,5236083
bonitos,oct-dec,0,84.5,-35.5,57,5236083
bonitos,oct-dec,0,86.5,-35.5,57,5236086
