category,season,effort,longitude,latitude,FAO_Major_Fishing_Areas,FAO_CWP_Code
volume,oct-dec,0,-59.5,-49.5,41,5350060
volume,oct-dec,0,-53.5,-49.5,41,5350054
volume,oct-dec,0,-65.5,-48.5,41,5349065
volume,oct-dec,0,-62.5,-48.5,41,5349063
volume,oct-dec,0,-53.5,-48.5,41,5349054
volume,oct-dec,0,-65.5,-47.5,41,5348066
volume,oct-dec,0,-54.5,-47.5,41,5348053
volume,oct-dec,0,-50.5,-47.5,41,5348051
volume,oct-dec,0,-66.5,-46.5,41,5347066
volume,oct-dec,0,-65.5,-45.5,41,5346064
volume,oct-dec,0,-51.5,-45.5,41,5346050
volume,oct-dec,0,-50.5,-45.5,41,5346050
volume,oct-dec,0,-49.5,-45.5,41,5346050
volume,oct-dec,0,-65.5,-44.5,41,5344066
volume,oct-dec,0,-63.5,-43.5,41,5344062
volume,oct-dec,0,-46.5,-43.5,41,5343045
volume,oct-dec,1,92.5,-43.5,57,5244091
volume,oct-dec,0,-62.5,-42.5,41,5343061
volume,oct-dec,0,9.5,-41.5,47,5241010
volume,oct-dec,0,18.5,-41.5,47,5242017
volume,oct-dec,0,-46.5,-40.5,41,5341047
volume,oct-dec,0,-44.5,-40.5,41,5341043
volume,oct-dec,1,2.5,-40.5,47,5241001
volume,oct-dec,0,11.5,-40.5,47,5240012
volume,oct-dec,0,90.5,-40.5,57,5241089
volume,oct-dec,0,91.5,-40.5,57,5240090
volume,oct-dec,0,-109.5,-39.5,87,5340109
volume,oct-dec,0,-108.5,-39.5,87,5340107
volume,oct-dec,0,-105.5,-39.5,87,5340106
volume,oct-dec,0,-90.5,-39.5,87,5340091
volume,oct-dec,0,-88.5,-39.5,87,5338087
volume,oct-dec,0,-49.5,-39.5,41,5338048
volume,oct-dec,0,-48.5,-39.5,41,5339049
volume,oct-dec,0,-44.5,-39.5,41,5340043
volume,oct-dec,1,1.5,-39.5,47,5238002
volume,oct-dec,1,3.5,-39.5,47,5239002
volume,oct-dec,0,5.5,-39.5,47,5240006
volume,oct-dec,0,12.5,-39.5,47,5239012
volume,oct-dec,0,88.5,-39.5,57,5240089
volume,oct-dec,0,89.5,-39.5,57,5240089
volume,oct-dec,0,91.5,-39.5,57,5240090
volume,oct-dec,0,92.5,-39.5,57,5240091
volume,oct-dec,0,102.5,-39.5,57,5239102
volume,oct-dec,0,-101.5,-38.5,87,5339100
volume,oct-dec,0,-84.5,-38.5,87,5339083
volume,oct-dec,1,-1.5,-38.5,47,5339001
volume,oct-dec,1,5.5,-38.5,47,5238005
volume,oct-dec,0,15.5,-38.5,47,5239015
volume,oct-dec,0,23.5,-38.5,47,5239023
volume,oct-dec,0,86.5,-38.5,57,5239087
volume,oct-dec,0,87.5,-38.5,57,5239088
volume,oct-dec,0,88.5,-38.5,57,5239088
volume,oct-dec,0,89.5,-38.5,57,5239090
volume,oct-dec,0,90.5,-38.5,57,5239091
volume,oct-dec,1,101.5,-38.5,57,5239102
volume,oct-dec,0,-114.5,-37.5,87,5338113
volume,oct-dec,0,-101.5,-37.5,87,5338100
volume,oct-dec,0,-80.5,-37.5,87,5338079
volume,oct-dec,0,-51.5,-37.5,41,5338052
volume,oct-dec,0,-44.5,-37.5,41,5338044
volume,oct-dec,1,-4.5,-37.5,47,5337003
volume,oct-dec,1,-3.5,-37.5,47,5338002
volume,oct-dec,2,8.5,-37.5,47,5237007
volume,oct-dec,2,9.5,-37.5,47,5236010
volume,oct-dec,1,86.5,-37.5,57,5238087
volume,oct-dec,1,87.5,-37.5,57,5238088
volume,oct-dec,0,88.5,-37.5,57,5238088
volume,oct-dec,0,155.5,-37.5,81,5238154
volume,oct-dec,0,156.5,-37.5,81,5238157
volume,oct-dec,0,-116.5,-36.5,87,5337115
volume,oct-dec,1,-4.5,-36.5,47,5337005
volume,oct-dec,1,11.5,-36.5,47,5237012
volume,oct-dec,1,12.5,-36.5,47,5237012
volume,oct-dec,0,17.5,-36.5,47,5237016
volume,oct-dec,0,33.5,-36.5,51,5236032
volume,oct-dec,1,86.5,-36.5,57,5237086
volume,oct-dec,0,87.5,-36.5,57,5237087
volume,oct-dec,0,89.5,-36.5,57,5236088
volume,oct-dec,0,90.5,-36.5,57,5237091
volume,oct-dec,0,91.5,-36.5,57,5236091
volume,oct-dec,0,96.5,-36.5,57,5237095
volume,oct-dec,0,97.5,-36.5,57,5237097
volume,oct-dec,0,98.5,-36.5,57,5237097
volume,oct-dec,0,157.5,-36.5,81,5237158
volume,oct-dec,0,-118.5,-35.5,87,5336117
volume,oct-dec,0,-94.5,-35.5,87,5336093
volume,oct-dec,0,-44.5,-35.5,41,5335045
volume,oct-dec,1,-6.5,-35.5,47,5335007
volume,oct-dec,2,14.5,-35.5,47,5236013
volume,oct-dec,1,15.5,-35.5,47,5236015
volume,oct-dec,0,83.5,-35.5,57,5236083
volume,oct-dec,0,84.5,-35.5,57,5236083
volume,oct-dec,1,86.5,-35.5,57,5236086
volume,oct-dec,0,89.5,-35.5,57,5234090
volume,oct-dec,0,152.5,-35.5,81,5236151
volume,oct-dec,0,153.5,-35.5,81,5236154
volume,oct-dec,0,156.5,-35.5,81,5236156
volume,oct-dec,0,157.5,-35.5,81,5236156
volume,oct-dec,0,-101.5,-34.5,87,5334101
volume,oct-dec,0,-99.5,-34.5,87,5335099
volume,oct-dec,0,-44.5,-34.5,41,5333043
volume,oct-dec,0,-41.5,-34.5,41,5333040
volume,oct-dec,0,-40.5,-34.5,41,5333039
volume,oct-dec,0,-39.5,-34.5,41,5333038
volume,oct-dec,1,-10.5,-34.5,47,5335011
volume,oct-dec,1,-8.5,-34.5,47,5335008
volume,oct-dec,0,8.5,-34.5,47,5234009
volume,oct-dec,2,17.5,-34.5,47,5235017
volume,oct-dec,0,18.5,-34.5,47,5235019
volume,oct-dec,0,22.5,-34.5,47,5234022
volume,oct-dec,0,23.5,-34.5,47,5234022
volume,oct-dec,0,32.5,-34.5,51,5235033
volume,oct-dec,0,85.5,-34.5,57,5235084
volume,oct-dec,0,87.5,-34.5,57,5235088
volume,oct-dec,0,94.5,-34.5,57,5235094
volume,oct-dec,0,152.5,-34.5,81,5235151
volume,oct-dec,0,153.5,-34.5,81,5235152
volume,oct-dec,0,158.5,-34.5,81,5235157
volume,oct-dec,0,159.5,-34.5,81,5235158
volume,oct-dec,0,161.5,-34.5,81,5235160
volume,oct-dec,0,-161.5,-33.5,81,5334160
volume,oct-dec,0,-156.5,-33.5,81,5333156
volume,oct-dec,0,-122.5,-33.5,81,5334123
volume,oct-dec,0,-94.5,-33.5,87,5332093
volume,oct-dec,0,-92.5,-33.5,87,5334091
volume,oct-dec,0,-81.5,-33.5,87,5334081
volume,oct-dec,0,-80.5,-33.5,87,5334081
volume,oct-dec,0,-75.5,-33.5,87,5334076
volume,oct-dec,0,-72.5,-33.5,87,5334073
volume,oct-dec,0,-44.5,-33.5,41,5334043
volume,oct-dec,0,-40.5,-33.5,41,5333039
volume,oct-dec,1,-12.5,-33.5,47,5334013
volume,oct-dec,0,7.5,-33.5,47,5234008
volume,oct-dec,0,9.5,-33.5,47,5234009
volume,oct-dec,0,26.5,-33.5,47,5234025
volume,oct-dec,0,29.5,-33.5,47,5233028
volume,oct-dec,0,32.5,-33.5,51,5234031
volume,oct-dec,0,87.5,-33.5,57,5234087
volume,oct-dec,0,89.5,-33.5,57,5233090
volume,oct-dec,1,90.5,-33.5,57,5234091
volume,oct-dec,0,93.5,-33.5,57,5234094
volume,oct-dec,0,94.5,-33.5,57,5234094
volume,oct-dec,0,151.5,-33.5,81,5234152
volume,oct-dec,0,152.5,-33.5,81,5234152
volume,oct-dec,0,153.5,-33.5,81,5234152
volume,oct-dec,0,154.5,-33.5,81,5234153
volume,oct-dec,0,155.5,-33.5,81,5234154
volume,oct-dec,0,157.5,-33.5,81,5234156
volume,oct-dec,0,158.5,-33.5,81,5234159
volume,oct-dec,0,167.5,-33.5,81,5234167
volume,oct-dec,0,177.5,-33.5,81,5234177
